Rule,Multiplied score,Added score,RuleLineEndWithEllipsis,RuleLineEndWithTerminal,RuleSentenceNumber,RuleWordNumber,RuleAbnormalChar,RuleAbnormalHtml,RuleAlphaWords,RuleCharNumber,RuleColonEnd,RuleContentNull,RuleContentShort,RuleContentShortMultiLan,RuleEnterAndSpace,RuleEnterMore,RuleEnterRatioMore,RuleHtmlEntity,RuleHtmlTag,RuleInvisibleChar,RuleLatexSpecialChar,RuleLineJavascriptCount,RuleLoremIpsum,RuleMeanWordLength,RuleSpaceMore,RuleSpecialCharacter,RuleStopWord,RuleSymbolWordRatio,RuleOnlyUrl,RuleDocRepeat,RuleCapitalWords,RuleCurlyBracket,RuleLineStartWithBulletpoint,RuleUniqueWords
Description,x,+,Percentage of samples that don't end with “…”.,"Percentage of samples where more than 60% of sentences end with punctuation (., !, ?, ;).","Percentage of samples with 3 to 7,500 sentences.","Percentage of samples with 20 to 100,000 words.",Percentage of samples without strange or hidden characters.,Percentage of samples without HTML code or tags.,Percentage of samples where at least 60% of words are alphabetic (letters).,Percentage of samples longer than 100 characters.,Percentage of samples that don't end with a colon (:).,Percentage of samples that are not empty.,Percentage of samples longer than 20 characters.,Percentage of samples shorter than 20 characters after cleaning.,Percentage of samples without too many line breaks and spaces together.,Percentage of samples without 8 line breaks in a row.,Percentage of samples where line breaks take up less than 25% of the content.,Percentage of samples without HTML entities (like &nbsp;).,Percentage of samples without HTML tags (like <div>).,Percentage of samples without hidden characters.,Percentage of samples without LaTeX markup.,Percentage of samples that don't contain the word “javascript”.,Percentage of samples that don't contain Lorem Ipsum filler text.,Percentage of samples with average word length between 3 and 10 letters.,Percentage of samples that don't contain 500 spaces.,Percentage of samples without unusual characters.,"Percentage of samples where at least 6% of words are common English stop words (like the, and, of).",Percentage of samples where symbols make up more than 40% compared to words.,Percentage of samples that are not URLs.,Percentage of samples without repeated identical lines.,Percentage of samples where at least 80% of words are lowercase.,Percentage of samples where curly brackets {} and other characters aren't more than 10% of the text.,Percentage of samples that don't begin with a bullet point.,Percentage of samples where fewer than 10% of unique words are repeated too often.
CulturaX,6.6494770310511E+063,3164.13,97.48,72.15,95.46,100,99.98,100,99.99,100,100,100,100,100,100,100,100,100,100,99.99,100,100,99.97,100,100,99.99,99.13,100,100,100,99.99,100,100,100
OSCAR,2.03861901906164E+063,3080.89,98.21,80.63,37.04,92.56,99.9,100,99.58,92.2,100,100,100,92.53,100,100,100,100,100,99.9,100,100,100,98.23,100,100,90.67,100,100,99.97,99.85,99.99,99.67,99.96
Wikipedia,1.21580186508548E+062,3069.94,100,1.69,89.12,92.94,99.84,100,98.11,95.31,100,100,99.99,94.78,100,100,100,100,100,99.84,100,100,100,98.71,100,100,99.61,100,100,100,100,100,100,100
C4,1.10648603298117E+063,3044.47,97.91,27.13,78.58,91.59,98.71,99.99,92.28,96.92,100,100,100,92,100,100,100,99.99,100,99.76,100,100,100,96.05,100,98.95,77.01,100,100,99.56,98.31,99.89,100,99.84
HPLT,1.01683274825597E+061,2888.06,98.71,83.09,1.9,45.82,100,100,97.74,44.4,100,100,98.35,45.93,99.97,100,99.97,100,100,100,100,100,100,99.23,100,100,74.11,99.99,100,99.99,99.19,99.99,99.68,100
Paracrawl,1.62958802564303E+060,2810.21,99.1,54.21,1.31,34.66,100,100,96.01,36.14,100,100,98.36,34.12,99.81,100,99.81,100,100,100,100,100,100,99.02,100,100,58.87,99.99,100,99.9,99.15,100,99.75,100
EUbookshop,6.32909289874109E+060,2801.53,98.77,60.37,4.43,39.27,100,100,87.83,41.27,100,100,84.43,39.09,99.89,100,99.89,100,100,100,100,100,100,96.94,100,100,57.16,99.89,100,100,92.99,99.99,99.32,100
QED,5.84400414592162E+059,2798.53,99.48,73.96,0.7,30.6,97.92,99.77,91.62,24.2,100,99.99,91.43,31.38,99.93,100,99.93,99.77,100,97.92,100,100,100,98.54,100,100,63.25,100,100,99.99,98.15,100,100,100
CCMatrix,4.16780866022E+058,2721.54,97.17,85.51,1.51,11.28,99.45,99.95,85.84,10.27,100,100,87.94,10.83,100,100,100,99.95,100,99.48,100,100,100,97.48,100,99.97,37.31,99.95,100,99.85,97.92,99.97,100,99.91
Tatoeba,1.10858178603513E+052,2690.41,99.9,99.05,0.05,0.25,100,100,97.29,0.2,100,100,73.85,0.3,100,100,100,100,100,100,100,100,100,98.69,100,100,21.13,100,100,100,99.7,100,100,100
NLLB,5.5859547344953E+057,2667.96,99.24,60.7,0.41,10.72,100,100,64.23,9.98,100,100,74.23,10.71,100,100,100,100,100,100,100,100,100,95.58,100,100,44.23,100,100,100,98,99.93,100,100
OpenSubtitles,1.69282912055454E+055,2665.44,98.54,96.65,0.36,1.88,98.96,100,82.13,1.15,100,100,66.84,1.98,99.7,100,99.7,100,100,98.96,100,100,100,97.36,100,100,22.44,99.75,100,99.99,99.05,100,100,100
EUconst,5.0236567708141E+058,2601.23,100,50.76,0.65,31.45,74.95,100,68,33.12,100,98.87,56.92,31.28,84.7,100,84.7,100,100,74.95,100,100,100,77.92,100,100,43.44,100,100,100,89.52,100,100,100
XLEnt,0,2570.42,99.94,0.4,0,0.3,99.91,100,97.68,3.46,100,100,78.65,0.3,99.34,100,99.34,100,100,99.92,100,100,100,94.93,100,99.99,3.39,99.99,100,99.92,93.06,100,99.96,99.94
