Score,-27.5,69.5,79,73,-107,121.5,114,109,-38.5,86.5,96,113,65,-108
Line End With Ellipsis,97.91,97.48,98.21,100,97.17,98.77,100,98.71,99.24,98.54,99.1,99.48,99.9,99.94
Line End With Terminal,27.13,72.15,80.63,1.69,85.51,60.37,50.76,83.09,60.7,96.65,54.21,73.96,99.05,0.4
Sentence Number,78.58,95.46,37.04,89.12,1.51,4.43,0.65,1.9,0.41,0.36,1.31,0.7,0.05,0
Word Number,91.59,100,92.56,92.94,11.28,39.27,31.45,45.82,10.72,1.88,34.66,30.6,0.25,0.3
Abnormal Characters,98.71,99.98,99.9,99.84,99.45,100,74.95,100,100,98.96,100,97.92,100,99.91
Abnormal HTML,99.99,100,100,100,99.95,100,100,100,100,100,100,99.77,100,100
Alpha Words,92.28,99.99,99.58,98.11,85.84,87.83,68,97.74,64.23,82.13,96.01,91.62,97.29,97.68
Character Number,96.92,100,92.2,95.31,10.27,41.27,33.12,44.4,9.98,1.15,36.14,24.2,0.2,3.46
Colon End,100,100,100,100,100,100,100,100,100,100,100,100,100,100
Content Null,100,100,100,100,100,100,98.87,100,100,100,100,99.99,100,100
Content Short,100,100,100,99.99,87.94,84.43,56.92,98.35,74.23,66.84,98.36,91.43,73.85,78.65
Content Short MultiLanguages,92,100,92.53,94.78,10.83,39.09,31.28,45.93,10.71,1.98,34.12,31.38,0.3,0.3
Enter And Space,100,100,100,100,100,99.89,84.7,99.97,100,99.7,99.81,99.93,100,99.34
Enter More,100,100,100,100,100,100,100,100,100,100,100,100,100,100
Enter Ratio More,100,100,100,100,100,99.89,84.7,99.97,100,99.7,99.81,99.93,100,99.34
HTML Entity,99.99,100,100,100,99.95,100,100,100,100,100,100,99.77,100,100
HTMTL Tag,100,100,100,100,100,100,100,100,100,100,100,100,100,100
Invisible Characters,99.76,99.99,99.9,99.84,99.48,100,74.95,100,100,98.96,100,97.92,100,99.92
Latex Special Characters,100,100,100,100,100,100,100,100,100,100,100,100,100,100
Line Javascript Count,100,100,100,100,100,100,100,100,100,100,100,100,100,100
Lorem Ipsum,100,99.97,100,100,100,100,100,100,100,100,100,100,100,100
Mean Word Length,96.05,100,98.23,98.71,97.48,96.94,77.92,99.23,95.58,97.36,99.02,98.54,98.69,94.93
Space More,100,100,100,100,100,100,100,100,100,100,100,100,100,100
Special Characters,98.95,99.99,100,100,99.97,100,100,100,100,100,100,100,100,99.99
Stop Words,77.01,99.13,90.67,99.61,37.31,57.16,43.44,74.11,44.23,22.44,58.87,63.25,21.13,3.39
Symbol Word Ration,100,100,100,100,99.95,99.89,100,99.99,100,99.75,99.99,100,100,99.99
Only URLs,100,100,100,100,100,100,100,100,100,100,100,100,100,100
Document Repeat,99.56,100,99.97,100,99.85,100,100,99.99,100,99.99,99.9,99.99,100,99.92
Capital Words,98.31,99.99,99.85,100,97.92,92.99,89.52,99.19,98,99.05,99.15,98.15,99.7,93.06
Curly Brackets,99.89,100,99.99,100,99.97,99.99,100,99.99,99.93,100,100,100,100,100
Line Starts With Bulletpoint,100,100,99.67,100,100,99.32,100,99.68,100,100,99.75,100,100,99.96
Unique Words,99.84,100,99.96,100,99.91,100,100,100,100,100,100,100,100,99.94
